wallet,segment,CyberKongz Genesis,CyberKongz Babies,CyberKongz VX (Any),CyberKongz Genkai (Any)
0x1c0ea8528a769200d111c11db286c16684e121e4,babies,0,1,0,0
0x1c4fb6616e0bbf548ad8575ae2d16413642da1d1,babies,0,1,0,0
0x1d2337d4f484c1abd26dc07c13fba974303dc48a,babies,0,1,0,0
0x1d7b087234d89510be132f8835c04d696be4f43a,babies,0,1,0,0
0x1edf8710bc88917a2d0dcc8afabce3e4869d71d0,babies,0,1,0,0
0x1f4a46bb3b226494a7c236606f7d686fa5891ee0,babies,0,1,0,0
0x1f69ffd815e12a78f42188a7a8e3797f406f2fbf,babies,0,3,0,0
0x21653b3dc2f2b5fe8104af129067bb25fba0817f,babies,0,1,0,0
0x2168b2295e912a27c0015bad9f09f090ebce1a99,babies,0,1,0,0
0x2278a9463774fc0b538b7d52087a00405ca9e1ac,babies,0,1,0,0
0x252ad4c147630634170971fe0bee72feaf7dfcb3,babies,0,1,0,0
0x25c25d702a54493e4f1eb731e614e772bbeaf025,babies,0,1,0,0
0x2675c775918dcbcbd7d139a87a9c37689f43abd6,babies,0,1,0,0
0x268893bf0047c3376dda9d94cd1d9c7c10ec2ee8,babies,0,1,0,0
0x26ed6ee24dbe01004a168c63d5255f56eb10beab,babies,0,1,0,0
0x27066d336c9f25c2477cc5a319ab37ba5f5ca508,babies,0,1,0,0
0x277d7f99eb184567f78cb3002f37ee98d621ab2a,babies,0,1,0,0
0x28f6a591ac2391d649dbb3baa80af48f88982e64,babies,0,1,0,0
0x296e0c21db4061ebf971e55d5db85011e7ff9797,babies,0,3,0,0
0x29d2e939facacd5c24951f5ddb40b7a588b1d172,babies,0,2,0,0
0x2a34fe43e8abd22a41971014f3ecab9bef6937a3,babies,0,1,0,0
0x2afc7b26dce8e42150c0fc3cdb5436774d96bb91,babies,0,1,0,0
0x2b23e544b4b74463c05d3fc81bb9d07d6a54b3da,babies,0,2,0,0
0x2b541ea683ab4247e6d11dd3def79ed1c0a2074e,babies,0,1,0,0
0x2b64bd1543fd04e95d152bba9712f2a13ac745ae,babies,0,1,0,0
0x2caf757a3d84b371dd124cc1ef609f6633b23073,babies,0,1,0,0
0x2e69b67cea86a3fec833f13f4483f80d9788bb24,babies,0,1,0,0
0x2e8c0dfead57f10ee350ddd5cb2237ff6bcab217,babies,0,1,0,0
0x2e8c4204cde4c78917d0313a75eff65d0262ad46,babies,0,1,0,0
0x2f3cea7f5394e23415447eee4252c7c542656fad,babies,0,1,0,0
0x30a5f5b7c368e6160176995e215d6373525987c4,babies,0,2,0,0
0x31d814b894adb1afc69586b589df9cfd67306925,babies,0,1,0,0
0x31ed534fbfa8c67f8a9d4e75edcf03261cb2d8e7,babies,0,1,0,0
0x3249f8913bc8aa8e9e4d2c9455e4f2c61032c112,babies,0,1,0,0
0x325752c3a965b36477c3b9286eb0a77ef42df32a,babies,0,2,0,0
0x3273809e7cc5587513337620090e24a34ef67105,babies,0,1,0,0
0x335055cd1d4eafe238cee71c9a7a121909c0b558,babies,0,1,0,0
0x3471caa81c25483583388e0a6fca5f169acc6553,babies,0,1,0,0
0x34c211ddc2d22db95544a960ee82961fee2c3798,babies,0,3,0,0
0x359c22cab6139f27c9a50ed06297b4fd3825f6ce,babies,0,1,0,0
0x3663b0937d72ad9f1ce921468d9551b1748da325,babies,0,1,0,0
0x379f110ac8d45486d7cd3842c176ca0f8ad1b74e,babies,0,1,0,0
0x37a53ac7a8e00397e17f2bdb2af3456c9546b765,babies,0,1,0,0
0x37a566959f5f344df48deb8a501765bdeca0dd34,babies,0,1,0,0
0x37a93ca28f2be82c5bd2b479a55b265bfbe9e965,babies,0,2,0,0
0x37bcd9d9a72b5ca08fbef22d5d4d20afa82565a1,babies,0,1,0,0
0x37db8502bfed14a2ae8d14ae3e371f48c9dc1eee,babies,0,1,0,0
0x38ac81721419ac782ee8cc8505b4e8fa561f2db4,babies,0,1,0,0
0x38e71c42dbee9b368f93c1278b8ce0b4aac44b29,babies,0,1,0,0
0x39032097b0681b539f5067ed190a3f9a5dc7fbbb,babies,0,1,0,0
